csm3,chl1
csm3,ctf4
csm3,elg1
csm3,hrp1-4
csm3,mrc1
csm3,rfc5-1
csm3,tof1
csm3,ycl060c
mks1-supp1,idh1
mks1-supp1,rtg1
mks1-supp1,rtg2
mks1-supp1,rtg3
rtg2,rtg1
rtg2,rtg3
irc14,idh2
irc14,idh1
ycl060c,chl1
ycl060c,ctf4
ycl060c,mrc1
ycl060c,rfc5-1
ycl060c,elg1
hhf1,ctf4
hhf1,hht1
ydl159w-a,hht1
ydl159w-a,rtg1
mad1,bim1
mad1,chl1
mad1,mad2
hrp1-4,chl1
hrp1-4,ctf4
hrp1-4,mrc1
hrp1-4,rfc5-1
hrp1-4,tof1
hrp1-4,elg1
rtg3,rtg1
tof1,chl1
tof1,ctf4
tof1,mrc1
tof1,rfc5-1
tof1,elg1
mrc1,chl1
mrc1,ctf4
mrc1,elg1
mrc1,rfc5-1
elg1,chl1
elg1,ctf4
elg1,rfc5-1
bim1,chl1
bim1,ctf4
bim1,mad2
mad2,chl1
rfc5-1,chl1
rfc5-1,ctf4
idh2,idh1
chl1,ctf4
